brackets,title
"(This new significance in philosophical repudiation itself has a history. Its most obvious precursor is Hegel, but it begins, I believe, in Kant. For it is in Kant that one finds an explicit recognition that the terms in which the past is criticized are specific to one's own position, and require justification from within that position. A clear instance of such a Kantian term of criticism is his characterization of an opposed ""Idealism"" as making the world ""empirically ideal and transcendentally real""; another is his diagnosis of ""dialectical illusion."")",Must We Mean What We Say?
(Heidegger's consciousness ,Must We Mean What We Say?
"XX o that our deepest task, as philosophers and as men, is one of getting back to a sense of words and world from which we are now away, is an intimate point of similarity with Wittgenstein.)",Must We Mean What We Say?
"(In emphasizing that criticism has been the life of philosophy from its beginning, I do not wish to camouflage what is genuinely disheartening about its present. I mean merely to remember that criticism need not be uncomprehending, nor always entered out of enmity.)",Must We Mean What We Say?
"(It would make no sense to speak of someone as a gifted novelist who had never written a novel; nor of someone as a scientist who had made no contribution to science. In the case of the scientist, the contribution need not be his own writing; but one could say that he must affect what his field writes. His contribution, that is, may be oral, but it must affect a tradition which is essentially not oral; this suggests that such contributions must be exceptional. It indicates further that writing plays differing roles. in different enterprises, even that ""writing"" means something different, or has a different inflection, in contexts like ""writing a novel,"" ""writing a fugue,"" ""writing a report,"" ""writing (up) an experiment,"" ""writing (down) a proof."" If silence is always a threat in philosophy, it is also its highest promise.)",Must We Mean What We Say?
"(Modernizers, bent merely on newness, do not have history as a problem, that is, as a commitment. The conflict between modernizers and modernists is the immediate topic of the two essays on music-numbers VII and VIII.)",Must We Mean What We Say?
"(Hegel, I am told, said that he was the last professor of philosophy. I think I know what he would have meant-that he was the last man to feel that he could speak evenly about every way in which the philosophical impulse has found expression, the last with the natural conviction that his own work was the living present of philosophy's history, able to take that history for granted. And that would mean that philosophy, as it has been known, is past. The mention of Hegel here reminds me that the sorts of problems I have spoken of in connection with the teaching of philosophy more familiarly arise in thinking about the history of philosophy, about whether anyone but a philosopher can write or know its history, and about whether a philosopher could allow himself to do so.)",Must We Mean What We Say?
"(This range of teaching is not confined to philosophy, though its proportions and placement will vary from subject to subject. This is what I am talking about in the opening of the essay on King Lear, in pointing to the New Critics' concentration on the teachable aspects of poetry.)",Must We Mean What We Say?
"(The great teacher invariably claims not to want followers, i.e., imitators. His problem is that he is never more seductive than at those moments of rejection.)",Must We Mean What We Say?
(There is no revolutionary social vision which does not include a new vision of education; and contrariwise.),Must We Mean What We Say?
"(The generalizing non-possessive ""your"" is common enough in Hamlet's way of speaking, and there is no evidence that Horatio's view of the world is distinctive.)",Must We Mean What We Say?
(It is hardly an accident that creative scientists are on the whole at home in a university and that creative artists on the whole are not.),Must We Mean What We Say?
"(Englewood Cliffs, N.J.: Prentice-Hall, Inc., 1g64)",Must We Mean What We Say?
[someone's],Must We Mean What We Say?
