title,word,count,pvalue_brackets,more_or_less_brackets,pvalue_text,more_or_less_text,in_corpus_count,in_corpus_brackets_pvalue,in_corpus_brackets,in_corpus_text_pvalue,in_corpus_text,in_brackets_count,in_brackets_pvalue,in_brackets
A Pitch of Philosophy,.,164.0,1.1734755258860897e-07,More,0.1292891797330723,More,4047.0,1.2246597720542314e-149,More,2.6912239565565613e-56,More,206.0,1.0704926049754446e-07,Less
A Pitch of Philosophy,this,45.0,0.02272964527364218,More,0.04451496949317433,More,1022.0,7.383735621701009e-21,More,9.919459160752587e-22,More,63.0,0.3778201601588481,Less
A Pitch of Philosophy,that,94.0,0.03379157763006024,More,0.207888383759574,More,1959.0,2.1121514865199724e-12,More,0.20602378556824172,More,149.0,0.09503984801691852,Less
A Pitch of Philosophy,is,107.0,0.03441190805864478,More,0.013014221082562527,More,2348.0,9.124541485642541e-17,More,8.50688358271344e-07,More,172.0,0.3011710036970449,More
A Pitch of Philosophy,of,235.0,0.054035899682428216,More,0.3736213595635942,Less,4598.0,0.0003415067080450823,More,0.02709416539558009,More,408.0,0.003523214068295474,Less
A Pitch of Philosophy,fact,7.0,0.07543521511652448,More,0.11907597046234847,More,107.0,0.08037566912674912,More,,,7.0,0.47056962215838016,Less
A Pitch of Philosophy,writing,11.0,0.0806747167825213,More,0.11107583247814448,More,77.0,0.07646629254231863,More,0.1212952810447893,More,13.0,0.48102885434340314,Less
A Pitch of Philosophy,american,6.0,0.09520652553870206,More,0.004641997667975158,More,36.0,0.22212189204747515,Less,0.45048342642865025,More,6.0,0.07615032068986995,More
A Pitch of Philosophy,makes,6.0,0.09520652553870206,More,0.00567409725387804,More,65.0,0.0004416072827853606,More,0.0008595546759079368,More,6.0,0.08882113044637432,More
A Pitch of Philosophy,mind,8.0,0.10052207361105989,More,0.0030814341450536306,More,67.0,0.3361876597041747,More,0.10233433280614398,More,9.0,0.04366083251966035,More
A Pitch of Philosophy,with,37.0,0.12087454492359445,More,0.08762786527168709,More,483.0,0.0016968429416664398,Less,0.0004033348977634513,Less,58.0,0.419296819228302,More
A Pitch of Philosophy,account,5.0,0.12119500640085398,More,0.05031396951860056,More,29.0,0.09820460726230441,More,0.3623797449487286,More,5.0,0.33413560380908885,More
A Pitch of Philosophy,original,5.0,0.12119500640085398,More,0.007340810909327281,More,20.0,0.3626854001306582,More,0.14537085516361622,More,5.0,0.08211464662461729,More
A Pitch of Philosophy,property,5.0,0.12119500640085398,More,5.753290996364815e-05,More,13.0,0.1499952814358496,More,0.0007309101272997945,More,5.0,0.001140835708763073,More
A Pitch of Philosophy,good,5.0,0.12119500640085398,More,0.06941249726985409,More,69.0,0.49013558220280895,More,0.08398997886908899,More,5.0,0.40847719463698007,More
A Pitch of Philosophy,being,12.0,0.13379447273880551,More,0.019761193462965513,More,142.0,0.36642293019576794,Less,0.21457747108254097,More,16.0,0.1252419969083492,More
A Pitch of Philosophy,playing,4.0,0.15614588564584309,More,0.008682220979485681,More,22.0,0.33185282506686825,More,0.01764899074846913,More,4.0,0.06868726077315877,More
A Pitch of Philosophy,mark,4.0,0.15614588564584309,More,0.06731938862904892,More,15.0,0.22158019530377185,More,0.08283004188393553,More,4.0,0.3351096907458142,More
A Pitch of Philosophy,heidegger,4.0,0.15614588564584309,More,0.003204380231793187,More,58.0,0.23616996989997005,More,8.977472464928062e-06,More,4.0,0.029032019541408088,More
A Pitch of Philosophy,tradition,4.0,0.15614588564584309,More,0.038274911806003176,More,12.0,0.17960707184270638,More,0.4361999529231305,More,4.0,0.22401243894933137,More
A Pitch of Philosophy,last,4.0,0.15614588564584309,More,0.08512024203948988,More,40.0,0.32167380317073346,More,0.0703748198787331,More,4.0,0.39195735609591525,More
A Pitch of Philosophy,searle,4.0,0.15614588564584309,More,0.008682220979485681,More,5.0,0.2994156564815426,More,0.017829556907855492,More,4.0,0.06868726077315877,More
A Pitch of Philosophy,lewis,4.0,0.15614588564584309,More,0.0001620147665529104,More,8.0,0.28736542714029906,More,0.0018121661253129879,More,4.0,0.0018542831926832235,More
A Pitch of Philosophy,familiar,4.0,0.15614588564584309,More,0.038274911806003176,More,29.0,0.1432875832017909,More,0.06265505258924696,More,4.0,0.22401243894933137,More
A Pitch of Philosophy,together,6.0,0.15952092799334,More,0.008225500990954744,More,35.0,0.299405828047888,Less,0.03620617657606401,Less,7.0,0.051080589323675415,More
A Pitch of Philosophy,meaning,6.0,0.15952092799334,More,0.03379902123346469,More,49.0,0.02461400929288194,Less,0.22572800756451197,More,7.0,0.1782740152487848,More
A Pitch of Philosophy,;,31.0,0.18092003207164212,More,0.009119292301321191,More,522.0,0.00542635912181792,More,0.2456293018217415,More,50.0,0.028560934602293753,More
A Pitch of Philosophy,among,7.0,0.19030227181414303,More,0.022932252307453924,More,43.0,0.15141579842232608,Less,0.37254644434302486,More,9.0,0.09205673813833978,More
A Pitch of Philosophy,thinking,10.0,0.19598532258217283,More,0.0032224029261333454,More,83.0,0.03645515368006773,More,2.2416911029997857e-05,More,14.0,0.009393624374405402,More
A Pitch of Philosophy,are,29.0,0.19676425834927075,More,0.013503973315338034,More,459.0,0.1209879217832394,More,0.020879138477835117,Less,47.0,0.03749192216512297,More
A Pitch of Philosophy,deconstruction,5.0,0.2032691890844064,More,0.0009095227826617606,More,6.0,0.48873779677761453,Less,0.029068680059711978,More,6.0,0.0031661934154261096,More
A Pitch of Philosophy,essay,5.0,0.2032691890844064,More,0.03471947097858856,More,36.0,0.3286098341410499,Less,0.2029070023958372,More,6.0,0.1331370190050323,More
A Pitch of Philosophy,america,5.0,0.2032691890844064,More,0.030288494876646917,More,34.0,0.32593152288754684,More,0.0014657384374339474,More,6.0,0.11735229724171922,More
A Pitch of Philosophy,birth,3.0,0.20489416241043498,More,0.0459325583062315,More,8.0,0.44013610228264205,More,,,3.0,0.19721400894227045,More
A Pitch of Philosophy,longer,3.0,0.20489416241043498,More,0.011573435224726356,More,25.0,0.030985081352936997,Less,0.21908288743863738,Less,3.0,0.06105797240416838,More
A Pitch of Philosophy,gather,3.0,0.20489416241043498,More,0.004645683953964006,More,4.0,0.37782545828216485,More,0.29465382643951676,More,3.0,0.02671302809466322,More
A Pitch of Philosophy,rebirth,3.0,0.20489416241043498,More,0.0011060412026260623,More,4.0,0.1565830950228313,More,0.10382803366479679,More,3.0,0.00694546706453617,More
A Pitch of Philosophy,construction,3.0,0.20489416241043498,More,0.011573435224726356,More,,,,0.18502765854839107,More,3.0,0.06105797240416838,More
A Pitch of Philosophy,material,3.0,0.20489416241043498,More,0.029226733120051446,More,,,,0.3655382132265929,Less,3.0,0.13604130660459823,More
A Pitch of Philosophy,hearing,3.0,0.20489416241043498,More,0.02234739083754118,More,16.0,0.36163961260628597,Less,0.004171077356713593,More,3.0,0.10839627736143508,More
A Pitch of Philosophy,originality,3.0,0.20489416241043498,More,0.011573435224726356,More,9.0,0.1767090179591083,More,0.02121973981910854,More,3.0,0.06105797240416838,More
A Pitch of Philosophy,h.,3.0,0.20489416241043498,More,0.016465141905500993,More,4.0,0.4912645677144565,More,0.1424453105518948,More,3.0,0.08326919881735319,More
A Pitch of Philosophy,add,3.0,0.20489416241043498,More,0.016465141905500993,More,22.0,0.3756415719892876,More,0.0008536960627250655,More,3.0,0.08326919881735319,More
A Pitch of Philosophy,borrowing,3.0,0.20489416241043498,More,0.02234739083754118,More,3.0,0.4798799401657638,More,0.055827197183247565,More,3.0,0.10839627736143508,More
A Pitch of Philosophy,perception,3.0,0.20489416241043498,More,0.06638586277504721,More,24.0,0.16179973291354233,More,0.08153758559309106,More,3.0,0.26351688557949265,More
A Pitch of Philosophy,its,27.0,0.21429813158824468,More,0.09976593065277509,More,349.0,0.2943019706963076,More,,,44.0,0.27012841991265907,More
A Pitch of Philosophy,taking,8.0,0.21565838067521687,More,0.02153953775426635,More,51.0,0.30874625414299994,More,0.24645610430064835,More,11.0,0.0655204026749921,More
A Pitch of Philosophy,about,16.0,0.23200520542107372,More,0.07849837696128928,More,226.0,0.4434677302343286,More,0.03474236336662606,Less,25.0,0.19836054024411012,More
A Pitch of Philosophy,no,16.0,0.23200520542107372,More,0.010416921489338213,More,244.0,0.2102031595505013,More,0.25284045011383255,More,25.0,0.02049854062953478,More
A Pitch of Philosophy,him,9.0,0.23702354407297557,More,0.04208880892187636,More,147.0,0.4780820987934613,Less,0.056087102679250385,Less,13.0,0.10760472197019015,More
A Pitch of Philosophy,ordinary,9.0,0.23702354407297557,More,0.09690944337136839,More,69.0,0.19241033072287533,More,0.46906412139700016,Less,13.0,0.24918810775043262,More
A Pitch of Philosophy,concept,6.0,0.23785081497596963,More,0.07999708031177867,More,49.0,0.17866189881335306,More,0.15579146807303268,More,8.0,0.21779538550370778,More
